Channel ID,Channel Name,Video ID,Title,Topic,Duration,Published At,View,Like,Num Comments,Date
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,hbSsYrUV5mE,ĐÃ KHÔNG YÊU THÌ THÔI -  HUYỀN BABY | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG 2023,"['Music', 'Music_of_Asia', 'Pop_music']",122.0,2024-01-20T03:00:22Z,94861,1344,89,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,SvGvzbByOk4,MÂY VÀ NÚI - MỸ LINH | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG 2023,"['Music', 'Music_of_Asia', 'Pop_music']",140.0,2024-01-17T03:00:13Z,82019,1797,190,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,aVHXUUX2lDQ,NHƯ MỘT GIẤC MƠ - LYNK LEE | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG 2023,"['Music', 'Music_of_Asia', 'Pop_music']",145.0,2024-01-18T03:00:00Z,176495,2115,223,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,JNbQY4phhdM,ANH - UYÊN LINH | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG 2023,"['Music', 'Music_of_Asia', 'Pop_music']",183.0,2024-01-16T03:00:10Z,1853763,17815,1479,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,J1R6ZE6Lu1s,NHƯ MỘT GIẤC MƠ - THANH NGỌC | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG 2023,"['Music', 'Music_of_Asia', 'Pop_music']",139.0,2024-01-18T11:00:23Z,33692,628,82,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,9ue1DivJxes,TÔI CHỈ MUỐN NÓI - PHAN MẠNH QUỲNH | MẮT BIẾC OST,Music,193.0,2019-12-30T04:00:00Z,6653473,84155,2492,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,R-pZfTljoo8,DANCE BATTLE | MƯỜI ĐIỂM - NINH DƯƠNG LAN NGỌC | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG,"['Music', 'Music_of_Asia', 'Pop_music', 'Television_program']",131.0,2024-01-19T11:00:23Z,112825,2729,250,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,hmgTYEzkH7Q,"RĂNG KHÔN - Team Thu Phương, Uyên Linh, Phạm Lịch | Chị Đẹp Đạp Gió Rẽ Sóng 2023","['Music', 'Music_of_Asia', 'Pop_music']",296.0,2023-11-27T03:00:30Z,881118,5075,779,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,Bv6yhsmqgjo,ANH - LỆ QUYÊN | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG 2023,"['Music', 'Music_of_Asia', 'Pop_music']",166.0,2024-01-16T08:00:06Z,119845,830,228,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,r2FXartT23Y,ĐÃ KHÔNG YÊU THÌ THÔI - DIỆP LÂM ANH | TIẾT MỤC ĐỐI KHÁNG CÁ NHÂN CHỊ ĐẸP ĐẠP GIÓ RẼ SÓNG 2023,"['Music', 'Music_of_Asia', 'Pop_music']",150.0,2024-01-20T11:00:45Z,92409,1105,45,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,OSFfph_1k0g,Việt Nam Sẽ Chiến Thắng| MV Cổ Vũ Chống Covid-19| Sting x Yeah1 x Nhiều Ca Sĩ,"['Music', 'Pop_music']",187.0,2020-03-31T12:00:14Z,32840334,274934,10216,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,uUZeeioMT2c,NHẠC XUÂN 2024 I NĂM QUA ĐÃ LÀM GÌ -  BÙI CÔNG NAM (OFFICIAL MV),Music,171.0,2023-12-19T13:00:07Z,16815862,12955,336,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,Nyt0ON_YjvU,ÁNH MẮT - TIA x TLOO x VINH | OFFICIAL MV,"['Music', 'Music_of_Asia', 'Pop_music']",206.0,2022-12-12T05:12:10Z,151696,5467,208,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,IJheEMB7dJU,ĐIỀU TUYỆT VỜI | MỸ TÂM | OFFICIAL MUSIC VIDEO,"['Music', 'Music_of_Asia', 'Pop_music']",227.0,2017-08-04T13:00:03Z,8196638,27250,2181,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,ou0E-NzaJJQ,[Gangz Style] Tết Cùng Anh Em - Jombie x Bảo Jen (G5R Team)|Rap acoustic,"['Hip_hop_music', 'Music', 'Music_of_Asia']",166.0,2019-01-31T13:00:06Z,645795,11554,367,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,CJYYsEFB2eU,VÌ YÊU LÀ NHỚ - HAN SARA - OST Ông Ngoại Tuổi 30 | Official MV,"['Music', 'Music_of_Asia', 'Pop_music']",168.0,2018-04-04T13:00:01Z,16967205,59666,1923,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,xqY59FOcUy8,Em Chưa 18 | WILL - LOU HOÀNG - KAITY NGUYỄN | Em Chưa 18 OST | Official Lyric Video,"['Music', 'Music_of_Asia', 'Pop_music']",226.0,2017-05-05T13:05:55Z,21721975,73340,4609,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,9Yq95hyLE8w,"Chị Ngả Em Nâng - Team Lan Ngọc, Trang Pháp, Quỳnh Nga, Uyên Linh, Diệp Lâm Anh | Công Diễn 2","['Music', 'Music_of_Asia', 'Pop_music']",270.0,2023-12-10T11:00:08Z,5308939,39465,3375,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,LG5hQJsO8k0,"Ta Là Của Nhau - Đông Nhi, Ông Cao Thắng | Lyrics Video","['Music', 'Pop_music']",180.0,2019-01-16T05:00:01Z,1809514,9402,137,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,tv0ttp0bS8A,Ta Là Của Nhau | Đông Nhi ft. Ông Cao Thắng | Yeah1 Superstar (Official Music Video),"['Music', 'Music_of_Asia', 'Pop_music']",201.0,2015-12-08T13:00:02Z,33254553,122172,4313,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,3F3M05y4d5Q,Nupakachi | Ngô Kiến Huy | Official MV,"['Music', 'Music_of_Asia', 'Pop_music', 'Rhythm_and_blues', 'Soul_music']",236.0,2016-07-04T03:00:01Z,8865684,46897,4191,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,eji3-Hp4_dA,Nhặt Lại Mảnh Vỡ | Kelvin Khánh ft. Jc Hưng - 4K | Yeah1 Superstar (Official Music Video),"['Music', 'Pop_music']",206.0,2015-11-17T10:00:01Z,6250569,52452,6618,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,jDzjFrrEB6Q,Mình là gì của nhau | Lou Hoàng | Official Teaser,"['Music', 'Music_of_Asia', 'Pop_music']",38.0,2016-09-12T08:50:28Z,398815,2059,513,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,CNQ6R_EYJps,HIT GÂY NGHIỆN “HẸN GẶP EM DƯỚI ANH TRĂNG” VÀ PHA TRÌNH DIỄN CỰC CHIẾN TỪ GERDNANG,"['Hip_hop_music', 'Music', 'Pop_music']",224.0,2022-04-30T13:15:00Z,133684,1029,27,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,4fGd91jTjdE,Yêu Người Như Anh - B RAY ft ĐẠT G x MASEW | OST Cà Chớn! Anh Đừng Đi,"['Hip_hop_music', 'Music', 'Pop_music']",200.0,2019-05-06T02:00:00Z,14777597,92949,2076,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,qfi1X_wFsu4,TA LÀ TÁO QUÂN - JOMBIE x JACK | G5R SQUAD,"['Hip_hop_music', 'Music', 'Music_of_Asia', 'Pop_music']",177.0,2020-01-17T12:00:16Z,1891073,66507,1612,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,mQfhSYjocrw,Ngưng làm bạn (#ngunglamban) | Hoàng Yến Chibi & TINO ft. KOP | Official MV 4K | Nhạc trẻ hay,"['Music', 'Pop_music']",258.0,2016-10-05T11:00:05Z,16866228,115388,7124,02/17/2024
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,4km2drUdGh0,Tôi Thấy Hoa Vàng Trên Cỏ Xanh | Ái Phương | Yeah1 Superstar (Offical MV),"['Music', 'Music_of_Asia']",238.0,2016-02-25T08:00:00Z,10047695,64052,2875,02/17/2024
