Channel ID,Channel Name,Description,View,Num Subscriber,Topic,Num Video
UCBq5hp6DvwWam2XOXw6lYJA,Awakening Music,"Awakening Music is a pioneering and dynamic record label headquartered in London with offices in California and Cairo. Awakening introduced to the world global music sensations – the likes of Sami Yusuf, Maher Zain and Harris J. We produce faith inspired and values driven content. Our songs and music videos on Youtube and other digital platforms have been enjoyed by billions across the world.  
 
Awakening Music manages and represents Maher Zain (Sweden), Mesut Kurtis (Macedonia), Raef (USA),  Humood Alkhudher (Kuwait) and Ali Magrebi (Libya). Previously Sami Yusuf, Harris J, and Hamza Namira among others.",5820572933,13900000,['Music'],897
UC-56FOaYhovgtPBFgNPRXEg,TOSHI MUSIC,Artist. Performer. Storyteller.,8134,459,"['Hip_hop_music', 'Music_of_Asia', 'Music', 'Pop_music']",10
UCeGJ6v6KQt0s88hGKMfybuw,Cozy Jazz Music,"''Welcome to Cozy Jazz''

We hope our music can give you some space to stay optimistic in life. Release all negative thoughts and just relax to keep creating! From now on, your life will only be filled with your emotions.

Thanks and have a nice day

Copyright © & FAQ
• Images used in the video are free images or images used after purchasing the copyright.
• All music produced and distributed by Cozy Jazz Music
• Any copying, duplication or partial use is strictly prohibited. Please respect the copyright and owner.
",37490656,108000,"['Music', 'Jazz', 'Music_of_Latin_America']",987
UCHJpwujMeHBaUJuRBxDA5Nw,ZinK Music ツ,"Đây Là Kênh Chính Thức Của ZinK Music ツ Nha!
Nhớ Like, Share, Và Subscribe Kênh Để Mình Có Động Lực Ra Mắt Các Track Nhạc EDM và Lofi Tiếp Theo :3. Cám Ơn Tất Cả Mọi Người Đã Quan Tâm Và Theo Dõi! 

- Giúp Mình Đạt Lại Được Những Cột Mốc Sau Nha! 

• 10 Subscribe ✅
• 20 Subscribe ✅
• 50 Subscribe ✅
• 100 Subscribe ✅
• 200 Subscribe ✅
• 500 Subscribe ✅
• 600 Subscribe ✅
• 800 Subscribe ✅
• 900 Subscribe ✅
• 1000 Subscribe ✅
• 2000 Subscribe ✅
• 5000 Subscribe ✅
• 10000 Subscribe ✅
• 20000 Subscribe ✅
• 50000 Subscribe ✗
• 100000 Subscribe ✗

    CHÚC CÁC BẠN NGHE NHẠC VUI VẺ 😘😘😘

© Mọi ý kiến và thắc mắc của các bạn có thể nhắn tin trực tiếp qua Facebook của mình
Hoặc có thể gửi qua địa chỉ email: khoitranzink@gmail.com
",12591633,35300,"['Pop_music', 'Music', 'Electronic_music']",89
UCZh0PiKTUoxL_GnJs6KlTsQ,MUSIC official,,7337608,38100,"['Electronic_music', 'Music']",8
UCa2pFBgiwFvH9XNCasfxHiw,Music Hot,,21634,490000,"['Pop_music', 'Music', 'Rock_music']",0
UCg0nKWXJ8qb_BVgPgxDxk_g, JW Music ♪,"wanna listen to some tunes ? watch anime :))))
______________________________________

→ JW Music is a channel makes lyrics and vietsub video.
→ I dont own the music used in this video
→ All the rights belong to the owner(s)
→ if you are an artist/musician/organization realizing the songs posted on my channel related to copyright issues, please contracts with me → hoangjewel270706@gmail.com

______________________________________

THANKS FOR YOUR SUPPORT !

_______________________________________________________________________

muốn nghe nhạc không ? xem anime đi :))))
______________________________________

→ JW Music là kênh chỉ làm về video lyrics và vietsub
→ Mình không sở hữu bài hát nào trong video
→ Mọi quyền lợi sẽ thuộc về chủ sở hữu
→ Nếu bạn là nghệ sĩ/nhạc sĩ/tổ chức thấy rằng những bài hát mình đăng lên kênh của mình có vấn đề về bản quyền thì hãy liên lạc với mình → hoangjewel270706@gmail.com

______________________________________

CẢM ƠN SỰ ỦNG HỘ CỦA CÁC BẠN !





",27792402,66700,"['Pop_music', 'Music', 'Independent_music']",28
UCO_YtwFEtYcOAcFdSccrwSw,GRAND MUSIC,"💵 For business applications, go to 🌐 http://www.kingsmen.group 
✉️ For any questions, go to 🌐 https://www.kingsmen.group/support

",2699107000,5500000,"['Electronic_music', 'Entertainment', 'Hip_hop_music', 'Music']",534
UCLcinD6lQkNGZeyL19rBc-A,Tee Music,"➥ Kênh tổng hợp - quảng bá sản phẩm âm nhạc của các DJ rộng rãi đến mọi người nghe ➥
- Nhớ like page cho mình nha :
- Nếu các bạn đọc đến đây thì mình cảm ơn các bạn .
- Link nhạc mình để ở mô tả các bạn ấn vào link để nghe những bản nhạc chất lượng từ những DJ nhé.
- Nhạc hay ảnh đẹp nhớ Like ,Share , Đăng kí kênh nghe nhiều bản nhạc mới nhất nhé...
- Các bạn đăng kí kênh giúp mình lên 1.000.000sub nhé  .
- Nếu có vấn đề bản quyền , hợp tác, đăng nhạc lên kênh.... liên hệ với mình qua mail

Cảm ơn các bạn !
",39792783,237000,"['Electronic_music', 'Music']",455
UC6kJf8FW8K29YVppAb4RfGg,BOP STOP @ The Music Settlement,"BOP STOP at The Music Settlement is Cleveland's premier listening room: an intimate, acoustically pristine performance venue with sweeping views of Lake Erie. BOP STOP hosts national and international touring artists as well as some of Northeast Ohio's most creative musical voices, particularly in jazz and improvised music.",2321,132,"['Jazz', 'Music']",20
