Channel ID,Channel Name,Description,View,Num Subscriber,Topic,Num Video
UCW9o3ENwPXKd9gc3ffqRs9w,Wanji Music,"Đây là kênh bắt trend nhạc tiktok douyin siêu nhanh. Lạc vào kênh của tôi, bạn sẽ bị mê hoặc bởi những bản nhạc cực hay, siêu bắt tai, chất lượng cao và không thể chê vào đâu được. Không tin thì thử đi 😉

This is a channel that quickly captures popular Douyin music. If you get lost in my channel, you will be mesmerized by the super cool, super catchy, high quality and irrepressible music. If you don't believe it, try it 😉

這是一個快速捕捉熱門抖音音樂的頻道. 如果你迷失在我的頻道裡，你會被那些超酷、超酷、高品質的音樂所迷住，無路可走。如果你不相信，可以嘗試一下😉

👉SUBCRIBE NOW👈

🎵Đặt Mua và Hỗ Trợ Tìm Nhạc Liên Hệ:

✅ Gmail: Wanjimusic@gmail.com

✅ Zalo: 0963919439

✅Donate: Vietcombank : 0271001106482
",57999883,126000,"['Pop_music', 'Music', 'Electronic_music']",576
UCpv5GBi8nxRwb4LY-zIvhcw,Music Attracts Abundance,"Music attracts abundance
I am Phupham and I compose and make music videos in with different frequencies, Natural Frequency, Chakra, Solfeggio, Abundance and Angel Number. If you want to know more, you can find all relevant information in the video description. May my music help you find inner calm and peace, heal and sleep, and meditate: amazing! 😊😊
Love and Gratitude

All music on this channel is composed and produced by Music Attracts Abundance. Copyright ⓒ 2022 Music that attracts abundance ™. Copyright Registered. Reuse, event in sections, of any videos, images and/or music from this channel is strictly prohibited!


Do not listen to music that emphasizes specific frequencies if you have epilepsy! Do not listen to music on this channel while driving or operating machinery of any kind! While this music can help you relax, meditate, and sleep, it is not a substitute for professional medical advice and/or treatment and/or treatment.
",19171829,171000,"['Religion', 'Lifestyle_(sociology)', 'Society']",446
UC7CLR70PwAff4tBUavQ42cw,Freak D Music,"Orinn Music là đội ngũ sản xuất những dự án âm nhạc hàng đầu Việt Nam.

Nắm bắt được xu hướng nghe nhạc hiện nay, Orinn có thể hỗ trợ nghệ sĩ remake lại những giai điệu gốc để cho ra mắt một phiên bản mới viral hơn, trending hơn trên Facebook, Tiktok và Youtube.

Với hệ thống về âm nhạc hàng đầu tại Việt Nam, Orinn hi vọng đem đến sự tươi mới trong âm nhạc cho nghệ sĩ và khán giả nghe nhạc.

Mọi thông tin liên hệ tại: contact@orinn.net
",1246535477,1430000,"['Pop_music', 'Music']",338
UCq8XvH3qOrCudk1lCVpCqTQ,HƯƠNG LY MUSIC,"Chào mọi người, mình là Hương Ly 😍😍😍 !
Mình là một bà mẹ bỉm sữa bán quần áo có đam mê ca hát. Cảm ơn các bạn đã ủng hộ các sản phẩm cover của mình. Nếu bạn muốn nghe bản cover nào hãy inbox cho mình nhé.

Contact for work:

Email:   huongly.booking@gmail.com
❤️ 
Nguyễn Hương Ly 
Facebook Cá Nhân: https://www.facebook.com/huongly.nguyen.5
Fanpage: https://www.facebook.com/nguyenhuonglyofficial 
Instagram: https://www.instagram.com/nguyenhuongly.official
TikTok: https://www.tiktok.com/@lyty1910

Cảm ơn mọi người đã ghé thăm kênh Youtube của Ly, mọi người nhớ ủng hộ Ly bằng một Subscribe nhaaaa. Cảm ơn cả nhà nhìu nhìu ^^ ❤️❤️❤️
",38770550,128000,"['Music_of_Asia', 'Music']",842
UC_9eLT-y0NkwlbcZaZKN7Mg,Mii Music,"欢迎来到昭武音乐YouTube Mii Music！
► 专注Remix音乐流派的频道：中国
► 点击注册成为第一个看到我最新产品的人！
https://www.youtube.com/c/MiiMusic1
▶ 关注频道
♫ YouTube：https://www.youtube.com/c/MiiMusic1
♫ 微博：https://weibo.com/u/7871705539
♫ 网址：zhaowu.org
▶ 如果您发现版权相关问题，请联系！
邮箱：support@zhaowu.org
",16946556,74300,"['Electronic_music', 'Music', 'Music_of_Asia']",377
UCGZXYc32ri4D0gSLPf2pZXQ,Armada Music TV,"Armada Music is the biggest independent dance music label in the world, founded in 2003 by Armin van Buuren, Maykel Piron and David Lewis (AR-MA-DA). A six-time winner of the IDMA for ‘Best Global Label’, Armada Music boasts the globe’s biggest dance music catalog of over 40.000 titles and a mouth-watering artist roster.

Promoting dance music all over the world from its offices in Amsterdam (HQ), New York and London, Armada Music represents and cultivates the creative exploits of some of the biggest players in the electronic music game, including Armin van Buuren, ARTY, Brando, Cat Dealers, Ferry Corsten, Loud Luxury, Morgan Page, Sunnery James & Ryan Marciano and Tensnake.
",3981013020,5250000,"['Pop_music', 'Electronic_music', 'Music']",14173
UC3zwjSYv4k5HKGXCHMpjVRg,Epic Music VN,"Epic Music VN - Listen To Become A Legend
Epic Music Community where you can find the best of Epic music in many genres: Action, Battle, Adventure, Emotional, Fantasy, Heroic... And of course, our finest collection of Epic Cinematic, when music and movie combined to deliver a whole new experience.

🌴 Follow Us
• Facebook → https://emvn.co/facebook
• YouTube → https://emvn.co/youtube
• 2nd Channel → https://emvn.co/youtube2
• Spotify → https://emvn.co/spotify
• Discord →  https://emvn.co/discord

✉️ Hire Us
• Portfolio → https://emvn.co/portfolio
• Post-production service → phong@emvn.co
• License music in Vietnam → license@emvn.co 

⚡ Support Us
Become a Patron (monthly) → https://emvn.co/patreon
Buy us a coffee (one-time) → https://paypal.me/emvncoffee

📝 Submissions
• Music & Cinematic → http://emvn.co/submitMusic

COPYRIGHT © & FAQ 
• This video was given a special license directly from the artists visual and audio.
• All music on Epic Music VN are copyrighted

",408727614,1180000,"['Music', 'Electronic_music']",1657
UCyxAR98DHx6S4dF3-T-iK5w,H2K Music,"Đây là kênh Youtube chính thức của H2K, Cập nhật những bản thu âm chất lượng
linhnd@bhmedia.vn
",87463830,579000,"['Pop_music', 'Electronic_music', 'Hip_hop_music', 'Music']",136
UCMx60HYcw1ieiPlZZagfqXQ,SQUARE ENIX MUSIC Channel,"スクウェア・エニックスの自社音楽レーベル「SQUARE ENIX MUSIC」の公式YouTubeチャンネルです。
ゲーム音楽にまつわる様々なコンテンツをお届けします。

◆YouTube Musicにて各種アルバム配信中
アルバムごとに楽曲をまとめたプレイリストなども当チャンネルページで公開中です。
配信詳細はこちら https://www.jp.square-enix.com/music/onstream/

◆SQUARE ENIX MUSICのウェブサイトはこちら
https://www.jp.square-enix.com/music/

◆リリースなどの最新情報はTwitterで発信中！
https://twitter.com/sem_sep
",16744386,155000,"['Role-playing_video_game', 'Action-adventure_game', 'Action_game', 'Video_game_culture', 'Strategy_video_game']",964
UCOxqgCwgOqC2lMqC5PYz_Dg,Chillhop Music,"Laidback beats for a more relaxed everyday life. 🎶

😊 ❘ Listen to our music on Spotify, Apple Music & other services
→ https://chillhop.com/listen

",614589896,3280000,"['Music', 'Lifestyle_(sociology)']",770
